DPTO_HECHO_NEW,ANIO,total_extorsion
AMAZONAS,2018,23
AMAZONAS,2019,13
AMAZONAS,2020,16
AMAZONAS,2021,30
AMAZONAS,2022,54
AMAZONAS,2023,158
AMAZONAS,2024,19
ANCASH,2018,166
ANCASH,2019,187
ANCASH,2020,123
ANCASH,2021,176
ANCASH,2022,425
ANCASH,2023,471
ANCASH,2024,82
APURIMAC,2018,4
APURIMAC,2019,5
APURIMAC,2020,8
APURIMAC,2021,7
APURIMAC,2022,25
APURIMAC,2023,51
APURIMAC,2024,4
AREQUIPA,2018,57
AREQUIPA,2019,93
AREQUIPA,2020,59
AREQUIPA,2021,88
AREQUIPA,2022,348
AREQUIPA,2023,471
AREQUIPA,2024,47
AYACUCHO,2018,20
AYACUCHO,2019,20
AYACUCHO,2020,22
AYACUCHO,2021,22
AYACUCHO,2022,72
AYACUCHO,2023,182
AYACUCHO,2024,17
CAJAMARCA,2018,44
CAJAMARCA,2019,33
CAJAMARCA,2020,29
CAJAMARCA,2021,70
CAJAMARCA,2022,130
CAJAMARCA,2023,293
CAJAMARCA,2024,83
CUSCO,2018,14
CUSCO,2019,22
CUSCO,2020,24
CUSCO,2021,35
CUSCO,2022,90
CUSCO,2023,174
CUSCO,2024,20
HUANCAVELICA,2018,3
HUANCAVELICA,2019,2
HUANCAVELICA,2020,6
HUANCAVELICA,2021,7
HUANCAVELICA,2022,17
HUANCAVELICA,2023,33
HUANCAVELICA,2024,3
HUANUCO,2018,35
HUANUCO,2019,42
HUANUCO,2020,30
HUANUCO,2021,53
HUANUCO,2022,119
HUANUCO,2023,350
HUANUCO,2024,35
ICA,2018,96
ICA,2019,123
ICA,2020,102
ICA,2021,176
ICA,2022,530
ICA,2023,655
ICA,2024,84
JUNIN,2018,37
JUNIN,2019,60
JUNIN,2020,47
JUNIN,2021,69
JUNIN,2022,238
JUNIN,2023,467
JUNIN,2024,43
LA LIBERTAD,2018,968
LA LIBERTAD,2019,1225
LA LIBERTAD,2020,677
LA LIBERTAD,2021,1006
LA LIBERTAD,2022,2169
LA LIBERTAD,2023,3067
LA LIBERTAD,2024,676
LAMBAYEQUE,2018,198
LAMBAYEQUE,2019,194
LAMBAYEQUE,2020,107
LAMBAYEQUE,2021,192
LAMBAYEQUE,2022,413
LAMBAYEQUE,2023,716
LAMBAYEQUE,2024,112
LIMA METROPOLITANA,2018,567
LIMA METROPOLITANA,2019,751
LIMA METROPOLITANA,2020,712
LIMA METROPOLITANA,2021,1321
LIMA METROPOLITANA,2022,7498
LIMA METROPOLITANA,2023,9972
LIMA METROPOLITANA,2024,1197
LORETO,2018,16
LORETO,2019,21
LORETO,2020,17
LORETO,2021,36
LORETO,2022,87
LORETO,2023,178
LORETO,2024,16
MADRE DE DIOS,2018,13
MADRE DE DIOS,2019,22
MADRE DE DIOS,2020,3
MADRE DE DIOS,2021,26
MADRE DE DIOS,2022,46
MADRE DE DIOS,2023,74
MADRE DE DIOS,2024,2
MOQUEGUA,2018,10
MOQUEGUA,2019,12
MOQUEGUA,2020,6
MOQUEGUA,2021,15
MOQUEGUA,2022,42
MOQUEGUA,2023,88
MOQUEGUA,2024,11
PASCO,2018,10
PASCO,2019,19
PASCO,2020,14
PASCO,2021,23
PASCO,2022,56
PASCO,2023,85
PASCO,2024,14
PIURA,2018,377
PIURA,2019,310
PIURA,2020,261
PIURA,2021,546
PIURA,2022,1300
PIURA,2023,1537
PIURA,2024,205
PROV. CONST. DEL CALLAO,2018,70
PROV. CONST. DEL CALLAO,2019,112
PROV. CONST. DEL CALLAO,2020,114
PROV. CONST. DEL CALLAO,2021,165
PROV. CONST. DEL CALLAO,2022,733
PROV. CONST. DEL CALLAO,2023,643
PROV. CONST. DEL CALLAO,2024,93
PUNO,2018,5
PUNO,2019,8
PUNO,2020,6
PUNO,2021,14
PUNO,2022,39
PUNO,2023,91
PUNO,2024,16
REGION LIMA,2018,160
REGION LIMA,2019,183
REGION LIMA,2020,135
REGION LIMA,2021,243
REGION LIMA,2022,865
REGION LIMA,2023,1174
REGION LIMA,2024,168
SAN MARTIN,2018,33
SAN MARTIN,2019,37
SAN MARTIN,2020,43
SAN MARTIN,2021,42
SAN MARTIN,2022,154
SAN MARTIN,2023,277
SAN MARTIN,2024,35
TACNA,2018,5
TACNA,2019,23
TACNA,2020,9
TACNA,2021,23
TACNA,2022,99
TACNA,2023,129
TACNA,2024,18
TUMBES,2018,115
TUMBES,2019,107
TUMBES,2020,67
TUMBES,2021,72
TUMBES,2022,238
TUMBES,2023,265
TUMBES,2024,62
UCAYALI,2018,21
UCAYALI,2019,75
UCAYALI,2020,39
UCAYALI,2021,40
UCAYALI,2022,100
UCAYALI,2023,331
UCAYALI,2024,42
