provincias,year,total_denuncias
ABANCAY,2018,1034
ABANCAY,2019,1117
ABANCAY,2020,756
ABANCAY,2021,1024
ABANCAY,2022,1026
ABANCAY,2023,1322
ABANCAY,2024,186
ACOBAMBA,2018,20
ACOBAMBA,2019,66
ACOBAMBA,2020,52
ACOBAMBA,2021,77
ACOBAMBA,2022,65
ACOBAMBA,2023,132
ACOBAMBA,2024,16
ACOMAYO,2018,22
ACOMAYO,2019,35
ACOMAYO,2020,26
ACOMAYO,2021,28
ACOMAYO,2022,30
ACOMAYO,2023,45
ACOMAYO,2024,8
AIJA,2018,13
AIJA,2019,19
AIJA,2020,25
AIJA,2021,32
AIJA,2022,22
AIJA,2023,23
AIJA,2024,8
ALTO AMAZONAS,2018,503
ALTO AMAZONAS,2019,494
ALTO AMAZONAS,2020,464
ALTO AMAZONAS,2021,526
ALTO AMAZONAS,2022,628
ALTO AMAZONAS,2023,739
ALTO AMAZONAS,2024,105
AMBO,2018,133
AMBO,2019,158
AMBO,2020,140
AMBO,2021,218
AMBO,2022,542
AMBO,2023,583
AMBO,2024,78
ANDAHUAYLAS,2018,557
ANDAHUAYLAS,2019,640
ANDAHUAYLAS,2020,458
ANDAHUAYLAS,2021,618
ANDAHUAYLAS,2022,699
ANDAHUAYLAS,2023,797
ANDAHUAYLAS,2024,132
ANGARAES,2018,3
ANGARAES,2019,8
ANGARAES,2020,40
ANGARAES,2021,73
ANGARAES,2022,117
ANGARAES,2023,102
ANGARAES,2024,18
ANTA,2018,210
ANTA,2019,174
ANTA,2020,132
ANTA,2021,139
ANTA,2022,228
ANTA,2023,329
ANTA,2024,43
ANTABAMBA,2018,7
ANTABAMBA,2019,37
ANTABAMBA,2020,41
ANTABAMBA,2021,52
ANTABAMBA,2022,47
ANTABAMBA,2023,33
ANTABAMBA,2024,7
ANTONIO RAYMONDI,2018,14
ANTONIO RAYMONDI,2019,22
ANTONIO RAYMONDI,2020,37
ANTONIO RAYMONDI,2021,36
ANTONIO RAYMONDI,2022,31
ANTONIO RAYMONDI,2023,12
ANTONIO RAYMONDI,2024,1
AREQUIPA,2018,12632
AREQUIPA,2019,12878
AREQUIPA,2020,8963
AREQUIPA,2021,12877
AREQUIPA,2022,18144
AREQUIPA,2023,25702
AREQUIPA,2024,3782
ASCOPE,2018,1173
ASCOPE,2019,1079
ASCOPE,2020,615
ASCOPE,2021,931
ASCOPE,2022,1340
ASCOPE,2023,1574
ASCOPE,2024,213
ASUNCION,2018,12
ASUNCION,2019,36
ASUNCION,2020,33
ASUNCION,2021,16
ASUNCION,2022,15
ASUNCION,2023,24
ASUNCION,2024,3
ATALAYA,2018,41
ATALAYA,2019,155
ATALAYA,2020,134
ATALAYA,2021,253
ATALAYA,2022,298
ATALAYA,2023,285
