provincias,denuncias2024
ABANCAY,186
ACOBAMBA,16
ACOMAYO,8
AIJA,8
ALTO AMAZONAS,105
AMBO,78
ANDAHUAYLAS,132
ANGARAES,18
ANTA,43
ANTABAMBA,7
ANTONIO RAYMONDI,1
AREQUIPA,3782
ASCOPE,213
ASUNCION,3
ATALAYA,7
AYABACA,25
AYMARAES,5
AZANGARO,30
BAGUA,82
BARRANCA,421
BELLAVISTA,45
BOLIVAR,5
BOLOGNESI,20
BONGARA,30
CAJABAMBA,115
CAJAMARCA,1047
CAJATAMBO,1
CALCA,43
CALLAO,2517
CAMANA,239
CANAS,10
CANCHIS,55
CANDARAVE,6
CANGALLO,15
CANTA,19
CARABAYA,14
CARAVELI,98
CARHUAZ,50
CARLOS FERMIN FITZCARRALD,12
CASMA,75
CASTILLA,28
CASTROVIRREYNA,18
CAYLLOMA,94
CAÑETE,772
CELENDIN,64
CHACHAPOYAS,89
CHANCHAMAYO,313
CHEPEN,204
CHICLAYO,4086
CHINCHA,544
CHINCHEROS,27
CHOTA,56
CHUCUITO,33
CHUMBIVILCAS,28
CHUPACA,144
CHURCAMPA,20
CONCEPCION,122
CONDESUYOS,20
CONDORCANQUI,7
CONTRALMIRANTE VILLAR,24
CONTUMAZA,21
CORONEL PORTILLO,859
CORONGO,1
COTABAMBAS,19
CUSCO,1241
CUTERVO,89
DANIEL ALCIDES CARRION,29
DOS DE MAYO,20
EL COLLAO,23
EL DORADO,7
ESPINAR,27
FERREÑAFE,128
GENERAL SANCHEZ CERRO,14
GRAN CHIMU,8
GRAU,13
HUACAYBAMBA,5
HUALGAYOC,30
HUALLAGA,19
HUAMALIES,12
HUAMANGA,913
HUANCA SANCOS,4
HUANCABAMBA,16
HUANCANE,9
HUANCAVELICA,93
HUANCAYO,2094
HUANTA,63
HUANUCO,694
HUARAL,176
HUARAZ,317
HUARI,41
HUARMEY,41
HUAROCHIRI,220
HUAURA,393
HUAYLAS,106
HUAYTARA,4
ICA,1031
ILO,182
ISLAY,132
JAEN,490
JAUJA,105
JORGE BASADRE,18
JULCAN,6
JUNIN,19
LA CONVENCION,266
LA MAR,33
LA UNION,7
LAMAS,41
LAMBAYEQUE,633
LAMPA,12
LAURICOCHA,5
LEONCIO PRADO,186
LIMA,32345
LORETO,21
LUCANAS,36
LUYA,29
MANU,14
MARAÑON,13
MARISCAL CACERES,42
MARISCAL LUZURIAGA,5
MARISCAL NIETO,197
MARISCAL RAMON CASTILLA,10
MAYNAS,494
MELGAR,25
MOHO,5
MORROPON,126
MOYOBAMBA,290
NAZCA,100
OCROS,5
OTUZCO,29
OXAPAMPA,83
OYON,13
PACASMAYO,289
PACHITEA,18
PADRE ABAD,68
PAITA,156
PALLASCA,5
PALPA,31
PARINACOCHAS,14
PARURO,5
PASCO,172
PATAZ,55
PAUCAR DEL SARA SARA,5
PAUCARTAMBO,4
PICOTA,32
PISCO,283
PIURA,2702
POMABAMBA,32
PUERTO INCA,22
PUNO,591
QUISPICANCHI,65
RECUAY,21
REQUENA,6
RIOJA,250
RODRIGUEZ DE MENDOZA,32
SAN ANTONIO DE PUTINA,15
SAN IGNACIO,28
SAN MARCOS,43
SAN MARTIN,498
SAN MIGUEL,18
SAN PABLO,13
SAN ROMAN,787
SANCHEZ CARRION,63
SANDIA,14
SANTA,902
SANTA CRUZ,17
SANTIAGO DE CHUCO,29
SATIPO,286
SECHURA,68
SIHUAS,5
SUCRE,5
SULLANA,793
TACNA,832
TAHUAMANU,14
TALARA,253
TAMBOPATA,308
TARATA,1
TARMA,61
TAYACAJA,33
TOCACHE,80
TRUJILLO,4147
TUMBES,289
UCAYALI,24
URUBAMBA,98
UTCUBAMBA,288
VICTOR FAJARDO,12
VILCAS HUAMAN,5
VIRU,231
YAROWILCA,10
YAULI,35
YAUYOS,10
YUNGAY,47
YUNGUYO,13
ZARUMILLA,72
