provincias,denuncias2018
ABANCAY,1034
ACOBAMBA,20
ACOMAYO,22
AIJA,13
ALTO AMAZONAS,503
AMBO,133
ANDAHUAYLAS,557
ANGARAES,3
ANTA,210
ANTABAMBA,7
ANTONIO RAYMONDI,14
AREQUIPA,12632
ASCOPE,1173
ASUNCION,12
ATALAYA,41
AYABACA,128
AYMARAES,43
AZANGARO,8
BAGUA,600
BARRANCA,1797
BELLAVISTA,100
BOLOGNESI,90
BONGARA,135
CAJABAMBA,168
CAJAMARCA,2052
CALCA,139
CALLAO,16239
CAMANA,548
CANAS,13
CANCHIS,308
CANGALLO,60
CANTA,44
CARAVELI,394
CARHUAZ,137
CARLOS FERMIN FITZCARRALD,10
CASMA,403
CASTILLA,154
CASTROVIRREYNA,2
CAYLLOMA,837
CAÑETE,3618
CELENDIN,218
CHACHAPOYAS,584
CHANCHAMAYO,1371
CHEPEN,850
CHICLAYO,17833
CHINCHA,3149
CHINCHEROS,159
CHOTA,221
CHUCUITO,35
CHUMBIVILCAS,108
CHUPACA,309
CHURCAMPA,2
CONCEPCION,85
CONDESUYOS,10
CONDORCANQUI,59
CONTRALMIRANTE VILLAR,212
CONTUMAZA,130
CORONEL PORTILLO,3453
CORONGO,13
COTABAMBAS,123
CUSCO,4794
CUTERVO,220
DANIEL ALCIDES CARRION,133
DOS DE MAYO,11
EL COLLAO,84
EL DORADO,1
ESPINAR,252
FERREÑAFE,477
GENERAL SANCHEZ CERRO,24
GRAN CHIMU,23
GRAU,9
HUACAYBAMBA,1
HUALGAYOC,172
HUALLAGA,110
HUAMALIES,11
HUAMANGA,2001
HUANCA SANCOS,10
HUANCABAMBA,59
HUANCANE,5
HUANCAVELICA,404
HUANCAYO,4640
HUANTA,196
HUANUCO,1490
HUARAL,893
HUARAZ,1143
HUARI,131
HUARMEY,252
HUAROCHIRI,327
HUAURA,2394
HUAYLAS,290
HUAYTARA,11
ICA,5075
ILO,515
ISLAY,685
JAEN,1756
JAUJA,183
JORGE BASADRE,29
JULCAN,29
JUNIN,80
LA CONVENCION,657
LA MAR,204
LA UNION,8
LAMAS,162
LAMBAYEQUE,2737
LAMPA,33
LEONCIO PRADO,386
LIMA,130282
LORETO,97
LUCANAS,141
LUYA,150
MANU,76
MARISCAL CACERES,118
MARISCAL LUZURIAGA,11
MARISCAL NIETO,725
MARISCAL RAMON CASTILLA,28
MAYNAS,2424
MELGAR,10
MOHO,1
MORROPON,666
MOYOBAMBA,1223
NAZCA,561
OCROS,10
OTUZCO,138
OXAPAMPA,309
OYON,115
PACASMAYO,811
PACHITEA,43
PADRE ABAD,76
PAITA,756
PALLASCA,30
PALPA,79
PARINACOCHAS,68
PARURO,36
PASCO,610
PATAZ,104
PAUCAR DEL SARA SARA,27
PAUCARTAMBO,25
PICOTA,57
PISCO,1935
PIURA,9313
POMABAMBA,29
PUERTO INCA,6
PUNO,782
QUISPICANCHI,149
RECUAY,90
REQUENA,76
RIOJA,869
RODRIGUEZ DE MENDOZA,119
SAN ANTONIO DE PUTINA,35
SAN IGNACIO,220
SAN MARCOS,76
SAN MARTIN,1906
SAN MIGUEL,47
SAN PABLO,44
SAN ROMAN,1225
SANCHEZ CARRION,139
SANDIA,7
SANTA,4532
SANTA CRUZ,41
SANTIAGO DE CHUCO,20
SATIPO,1155
SECHURA,284
SIHUAS,29
SUCRE,25
SULLANA,3027
TACNA,2408
TAHUAMANU,30
TALARA,1645
TAMBOPATA,1918
TARATA,23
TARMA,359
TAYACAJA,10
TOCACHE,330
TRUJILLO,11559
TUMBES,2388
UCAYALI,14
URUBAMBA,290
UTCUBAMBA,1418
VICTOR FAJARDO,24
VIRU,635
YAROWILCA,5
YAULI,138
YAUYOS,50
YUNGAY,192
YUNGUYO,26
ZARUMILLA,989
