provincias,total_denuncias
ABANCAY,6465
ACOBAMBA,428
ACOMAYO,194
AIJA,142
ALTO AMAZONAS,3459
AMBO,1852
ANDAHUAYLAS,3901
ANGARAES,361
ANTA,1255
ANTABAMBA,224
ANTONIO RAYMONDI,153
AREQUIPA,94978
ASCOPE,6925
ASUNCION,139
ATALAYA,1173
AYABACA,955
AYMARAES,418
AZANGARO,714
BAGUA,3950
BARRANCA,10435
BELLAVISTA,1334
BOLIVAR,54
BOLOGNESI,857
BONGARA,916
CAJABAMBA,2017
CAJAMARCA,16310
CAJATAMBO,42
CALCA,1133
CALLAO,76285
CAMANA,4535
CANAS,234
CANCHIS,2158
CANDARAVE,35
CANGALLO,515
CANTA,452
CARABAYA,235
CARAVELI,2627
CARHUAZ,1142
CARLOS FERMIN FITZCARRALD,190
CASMA,3735
CASTILLA,986
CASTROVIRREYNA,235
CAYLLOMA,4457
CAÑETE,22316
CELENDIN,1828
CHACHAPOYAS,3324
CHANCHAMAYO,9376
CHEPEN,6138
CHICLAYO,112032
CHINCHA,19484
CHINCHEROS,943
CHOTA,1849
CHUCUITO,526
CHUMBIVILCAS,1553
CHUPACA,2969
CHURCAMPA,346
CONCEPCION,1585
CONDESUYOS,352
CONDORCANQUI,350
CONTRALMIRANTE VILLAR,1070
CONTUMAZA,747
CORONEL PORTILLO,30851
CORONGO,146
COTABAMBAS,1078
CUSCO,32776
CUTERVO,1917
DANIEL ALCIDES CARRION,815
DATEM DEL MARAÑON,11
DOS DE MAYO,305
EL COLLAO,521
EL DORADO,251
ESPINAR,1635
FERREÑAFE,3248
GENERAL SANCHEZ CERRO,244
GRAN CHIMU,322
GRAU,513
HUACAYBAMBA,44
HUALGAYOC,1529
HUALLAGA,732
HUAMALIES,486
HUAMANGA,18786
HUANCA SANCOS,105
HUANCABAMBA,658
HUANCANE,437
HUANCAVELICA,2824
HUANCAYO,39023
HUANTA,2111
HUANUCO,17228
HUARAL,4019
HUARAZ,7888
HUARI,1301
HUARMEY,1769
HUAROCHIRI,3281
HUAURA,13965
HUAYLAS,2742
HUAYTARA,173
ICA,34561
ILO,4487
ISLAY,3991
JAEN,14153
JAUJA,2035
JORGE BASADRE,266
JULCAN,174
JUNIN,656
LA CONVENCION,6202
LA MAR,1294
LA UNION,121
LAMAS,1236
LAMBAYEQUE,16332
LAMPA,272
LAURICOCHA,57
LEONCIO PRADO,6495
LUCANAS,890
LUYA,863
MANU,470
MARAÑON,243
MARISCAL CACERES,1361
MARISCAL LUZURIAGA,151
MARISCAL NIETO,5895
MARISCAL RAMON CASTILLA,484
MAYNAS,16756
MELGAR,477
MOHO,82
MORROPON,4473
MOYOBAMBA,7557
NASCA,3298
OCROS,77
OTUZCO,931
OXAPAMPA,3272
OYON,487
PACASMAYO,6582
PACHITEA,506
PADRE ABAD,2096
PAITA,4332
PALLASCA,331
PALPA,705
PARINACOCHAS,488
PARURO,282
PASCO,4495
PATAZ,1366
PAUCAR DEL SARA SARA,321
PAUCARTAMBO,416
PICOTA,702
PISCO,12809
PIURA,73864
POMABAMBA,435
PUERTO INCA,843
PUNO,8853
PURUS,18
QUISPICANCHI,1511
RECUAY,639
REQUENA,281
RIOJA,6729
RODRIGUEZ DE MENDOZA,962
SAN ANTONIO DE PUTINA,508
SAN IGNACIO,1757
SAN MARCOS,679
SAN MARTIN,12991
SAN MIGUEL,551
SAN PABLO,244
SAN ROMAN,13052
SANCHEZ CARRION,1534
SANDIA,354
SANTA,31578
SANTA CRUZ,344
SANTIAGO DE CHUCO,612
SATIPO,9386
SECHURA,2518
SIHUAS,241
SUCRE,302
SULLANA,18790
TACNA,20572
TAHUAMANU,213
TALARA,9124
TAMBOPATA,11039
TARATA,145
TARMA,1782
TAYACAJA,886
TOCACHE,2806
TRUJILLO,84472
TUMBES,11679
UCAYALI,475
URUBAMBA,2781
UTCUBAMBA,9336
VICTOR FAJARDO,225
VILCAS HUAMAN,171
VIRU,5765
YAROWILCA,236
YAULI,1134
YAUYOS,375
YUNGAY,1266
YUNGUYO,257
ZARUMILLA,3966
