year,departamento,provincias,distritos,ubigeo,denuncias
2018,AMAZONAS,BAGUA,BAGUA,10201,45
2018,AMAZONAS,BAGUA,COPALLIN,10203,2
2018,AMAZONAS,BAGUA,IMAZA,10205,1
2018,AMAZONAS,BAGUA,LA PECA,10206,1
2018,AMAZONAS,BONGARA,CUISPES,10305,1
2018,AMAZONAS,BONGARA,FLORIDA,10306,4
2018,AMAZONAS,BONGARA,JAZAN,10307,7
2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,10101,44
2018,AMAZONAS,CHACHAPOYAS,CHETO,10104,1
2018,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10110,2
2018,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,10114,2
2018,AMAZONAS,CHACHAPOYAS,QUINJALCA,10117,1
2018,AMAZONAS,CONDORCANQUI,NIEVA,10401,1
2018,AMAZONAS,LUYA,CAMPORREDONDO,10502,5
2018,AMAZONAS,LUYA,LAMUD,10501,4
2018,AMAZONAS,LUYA,SANTO TOMAS,10521,1
2018,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,10604,1
2018,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,10607,2
2018,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,10609,1
2018,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,10601,3
2018,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,10610,1
2018,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,94
2018,AMAZONAS,UTCUBAMBA,CAJARURO,10702,9
2018,AMAZONAS,UTCUBAMBA,CUMBA,10703,1
2018,AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,3
2018,AMAZONAS,UTCUBAMBA,JAMALCA,10705,5
2018,AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,2
2018,ANCASH,AIJA,AIJA,20201,1
2018,ANCASH,BOLOGNESI,CAJACAY,20505,1
2018,ANCASH,BOLOGNESI,CHIQUIAN,20501,3
2018,ANCASH,BOLOGNESI,COLQUIOC,20507,1
2018,ANCASH,BOLOGNESI,HUALLANCA,20508,2
2018,ANCASH,BOLOGNESI,PACLLON,20513,1
2018,ANCASH,CARHUAZ,CARHUAZ,20601,3
2018,ANCASH,CARHUAZ,MARCARA,20606,2
2018,ANCASH,CASMA,BUENA VISTA ALTA,20802,1
2018,ANCASH,CASMA,CASMA,20801,24
2018,ANCASH,CASMA,YAUTAN,20804,1
2018,ANCASH,CORONGO,ACO,20902,1
2018,ANCASH,CORONGO,YUPAN,20907,1
2018,ANCASH,HUARAZ,HUARAZ,20101,56
2018,ANCASH,HUARAZ,INDEPENDENCIA,20105,15
2018,ANCASH,HUARAZ,PARIACOTO,20110,1
2018,ANCASH,HUARI,HUARI,21001,3
2018,ANCASH,HUARMEY,HUARMEY,21101,22
2018,ANCASH,HUAYLAS,CARAZ,21201,16
2018,ANCASH,MARISCAL LUZURIAGA,CASCA,21302,1
2018,ANCASH,MARISCAL LUZURIAGA,LUCMA,21307,1
2018,ANCASH,PALLASCA,BOLOGNESI,21502,1
2018,ANCASH,PALLASCA,SANTA ROSA,21510,1
2018,ANCASH,POMABAMBA,POMABAMBA,21601,4
2018,ANCASH,RECUAY,RECUAY,21701,2
2018,ANCASH,RECUAY,TICAPAMPA,21710,1
2018,ANCASH,SANTA,CHIMBOTE,21801,181
2018,ANCASH,SANTA,COISHCO,21803,5
2018,ANCASH,SANTA,MACATE,21804,1
2018,ANCASH,SANTA,MORO,21805,3
2018,ANCASH,SANTA,NEPEÑA,21806,2
2018,ANCASH,SANTA,NUEVO CHIMBOTE,21809,103
2018,ANCASH,SANTA,SANTA,21808,15
2018,ANCASH,SIHUAS,SIHUAS,21901,2
2018,ANCASH,YUNGAY,MANCOS,22003,2
2018,ANCASH,YUNGAY,RANRAHIRCA,22006,5
2018,ANCASH,YUNGAY,YUNGAY,22001,8
2018,APURIMAC,ABANCAY,ABANCAY,30101,57
2018,APURIMAC,ABANCAY,CHACOCHE,30102,1
2018,APURIMAC,ABANCAY,CURAHUASI,30104,6
2018,APURIMAC,ABANCAY,HUANIPACA,30105,2
2018,APURIMAC,ABANCAY,TAMBURCO,30109,2
2018,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,30201,19
2018,APURIMAC,ANDAHUAYLAS,ANDARAPA,30202,1
2018,APURIMAC,ANDAHUAYLAS,KISHUARA,30207,2
2018,APURIMAC,ANDAHUAYLAS,PACUCHA,30209,3
2018,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,30213,3
2018,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,30215,1
2018,APURIMAC,ANDAHUAYLAS,TALAVERA,30216,8
2018,APURIMAC,ANTABAMBA,PACHACONAS,30306,2
2018,APURIMAC,AYMARAES,CHALHUANCA,30401,3
2018,APURIMAC,CHINCHEROS,ANCO_HUALLO,30602,2
2018,APURIMAC,CHINCHEROS,CHINCHEROS,30601,7
2018,APURIMAC,CHINCHEROS,HUACCANA,30604,1
2018,APURIMAC,CHINCHEROS,OCOBAMBA,30605,2
2018,APURIMAC,CHINCHEROS,RANRACANCHA,30608,1
2018,APURIMAC,COTABAMBAS,HAQUIRA,30504,4
2018,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,40102,42
2018,AREQUIPA,AREQUIPA,AREQUIPA,40101,164
2018,AREQUIPA,AREQUIPA,CAYMA,40103,71
2018,AREQUIPA,AREQUIPA,CERRO COLORADO,40104,105
2018,AREQUIPA,AREQUIPA,CHARACATO,40105,14
2018,AREQUIPA,AREQUIPA,CHIGUATA,40106,3
2018,AREQUIPA,AREQUIPA,JACOBO HUNTER,40107,25
2018,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,40129,99
2018,AREQUIPA,AREQUIPA,LA JOYA,40108,22
2018,AREQUIPA,AREQUIPA,MARIANO MELGAR,40109,40
2018,AREQUIPA,AREQUIPA,MIRAFLORES,40110,58
2018,AREQUIPA,AREQUIPA,MOLLEBAYA,40111,1
2018,AREQUIPA,AREQUIPA,PAUCARPATA,40112,76
2018,AREQUIPA,AREQUIPA,POCSI,40113,1
2018,AREQUIPA,AREQUIPA,POLOBAYA,40114,1
2018,AREQUIPA,AREQUIPA,QUEQUEÑA,40115,3
2018,AREQUIPA,AREQUIPA,SABANDIA,40116,4
2018,AREQUIPA,AREQUIPA,SACHACA,40117,19
2018,AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,40118,1
2018,AREQUIPA,AREQUIPA,SOCABAYA,40122,62
2018,AREQUIPA,AREQUIPA,TIABAYA,40123,11
2018,AREQUIPA,AREQUIPA,UCHUMAYO,40124,16
2018,AREQUIPA,AREQUIPA,YANAHUARA,40126,53
2018,AREQUIPA,AREQUIPA,YARABAMBA,40127,1
2018,AREQUIPA,AREQUIPA,YURA,40128,14
2018,AREQUIPA,CAMANA,CAMANA,40201,4
2018,AREQUIPA,CAMANA,JOSE MARIA QUIMPER,40202,1
2018,AREQUIPA,CAMANA,MARISCAL CACERES,40204,3
2018,AREQUIPA,CAMANA,OCOÑA,40206,1
2018,AREQUIPA,CAMANA,SAMUEL PASTOR,40208,34
2018,AREQUIPA,CARAVELI,ACARI,40302,1
2018,AREQUIPA,CARAVELI,ATICO,40303,2
2018,AREQUIPA,CARAVELI,BELLA UNION,40305,1
2018,AREQUIPA,CARAVELI,CARAVELI,40301,1
2018,AREQUIPA,CARAVELI,CHALA,40307,12
2018,AREQUIPA,CARAVELI,CHAPARRA,40308,3
2018,AREQUIPA,CARAVELI,LOMAS,40311,2
2018,AREQUIPA,CARAVELI,QUICACHA,40312,1
2018,AREQUIPA,CARAVELI,YAUCA,40313,1
2018,AREQUIPA,CASTILLA,APLAO,40401,12
2018,AREQUIPA,CASTILLA,ORCOPAMPA,40409,2
2018,AREQUIPA,CASTILLA,PAMPACOLCA,40410,2
2018,AREQUIPA,CASTILLA,URACA,40413,3
2018,AREQUIPA,CAYLLOMA,CHIVAY,40501,10
2018,AREQUIPA,CAYLLOMA,HUANCA,40508,4
2018,AREQUIPA,CAYLLOMA,MAJES,40520,44
2018,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,40601,1
2018,AREQUIPA,ISLAY,COCACHACRA,40702,4
2018,AREQUIPA,ISLAY,DEAN VALDIVIA,40703,2
2018,AREQUIPA,ISLAY,ISLAY,40704,11
2018,AREQUIPA,ISLAY,MEJIA,40705,10
2018,AREQUIPA,ISLAY,MOLLENDO,40701,75
2018,AREQUIPA,ISLAY,PUNTA DE BOMBON,40706,2
2018,AREQUIPA,LA UNION,COTAHUASI,40801,1
2018,AYACUCHO,CANGALLO,CANGALLO,50201,3
2018,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES,50116,6
2018,AYACUCHO,HUAMANGA,AYACUCHO,50101,102
2018,AYACUCHO,HUAMANGA,CARMEN ALTO,50104,15
2018,AYACUCHO,HUAMANGA,CHIARA,50105,2
2018,AYACUCHO,HUAMANGA,JESUS NAZARENO,50115,5
2018,AYACUCHO,HUAMANGA,OCROS,50106,1
2018,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,50110,18
2018,AYACUCHO,HUANTA,HUANTA,50401,12
2018,AYACUCHO,HUANTA,SIVIA,50407,4
2018,AYACUCHO,LA MAR,ANCO,50502,1
2018,AYACUCHO,LA MAR,AYNA,50503,8
2018,AYACUCHO,LA MAR,PALMAPAMPA,50509,2
2018,AYACUCHO,LA MAR,SAN MIGUEL,50501,3
2018,AYACUCHO,LA MAR,TAMBO,50508,1
2018,AYACUCHO,LUCANAS,CHAVIÑA,50605,1
2018,AYACUCHO,LUCANAS,PUQUIO,50601,11
2018,AYACUCHO,PARINACOCHAS,CORACORA,50701,6
2018,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,50801,3
2018,AYACUCHO,SUCRE,QUEROBAMBA,50901,1
2018,AYACUCHO,VICTOR FAJARDO,CANARIA,51005,2
2018,CAJAMARCA,CAJABAMBA,CAJABAMBA,60201,13
2018,CAJAMARCA,CAJABAMBA,CONDEBAMBA,60203,1
2018,CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,111
2018,CAJAMARCA,CAJAMARCA,ENCAÑADA,60105,2
2018,CAJAMARCA,CAJAMARCA,JESUS,60106,3
2018,CAJAMARCA,CAJAMARCA,LLACANORA,60107,1
2018,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,60108,19
2018,CAJAMARCA,CAJAMARCA,MAGDALENA,60109,1
2018,CAJAMARCA,CAJAMARCA,NAMORA,60111,1
2018,CAJAMARCA,CELENDIN,CELENDIN,60301,13
2018,CAJAMARCA,CELENDIN,HUASMIN,60304,1
2018,CAJAMARCA,CELENDIN,JOSE GALVEZ,60306,3
2018,CAJAMARCA,CELENDIN,SUCRE,60310,2
2018,CAJAMARCA,CHOTA,CHOTA,60401,23
2018,CAJAMARCA,CHOTA,LLAMA,60411,1
2018,CAJAMARCA,CONTUMAZA,CHILETE,60502,1
2018,CAJAMARCA,CONTUMAZA,CONTUMAZA,60501,6
2018,CAJAMARCA,CONTUMAZA,YONAN,60508,3
2018,CAJAMARCA,CUTERVO,CUTERVO,60601,18
2018,CAJAMARCA,CUTERVO,QUEROCOTILLO,60607,1
2018,CAJAMARCA,HUALGAYOC,BAMBAMARCA,60701,8
2018,CAJAMARCA,HUALGAYOC,HUALGAYOC,60703,3
2018,CAJAMARCA,JAEN,BELLAVISTA,60802,6
2018,CAJAMARCA,JAEN,HUABAL,60805,3
2018,CAJAMARCA,JAEN,JAEN,60801,149
2018,CAJAMARCA,JAEN,LAS PIRIAS,60806,3
2018,CAJAMARCA,JAEN,PUCARA,60808,2
2018,CAJAMARCA,JAEN,SANTA ROSA,60812,5
2018,CAJAMARCA,SAN IGNACIO,LA COIPA,60904,1
2018,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,60901,11
2018,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,60906,2
2018,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,61001,5
2018,CAJAMARCA,SAN MIGUEL,CATILLUC,61104,1
2018,CAJAMARCA,SAN MIGUEL,NIEPOS,61109,2
2018,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,61101,1
2018,CAJAMARCA,SAN PABLO,SAN PABLO,61201,1
2018,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,61301,2
2018,CUSCO,ACOMAYO,ACOMAYO,80201,2
2018,CUSCO,ANTA,ANCAHUASI,80302,1
2018,CUSCO,ANTA,ANTA,80301,9
