año_hecho,departamen,provincia,distrito,denuncias_dep,geom
2021,ANCASH,ASUNCION,CHACAS,1,-77.3683319|-9.16208419999998
2021,ANCASH,CARHUAZ,CARHUAZ,1,-77.6450215|-9.28174399999995
2021,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,1,-77.329181062|-9.09441098999997
2021,ANCASH,HUAYLAS,CARAZ,3,-77.804295642|-77.8109958|-9.04664111399995|-9.04849529999996
2021,ANCASH,HUAYLAS,HUALLANCA,1,-77.8628117|-8.81902029999998
2021,ANCASH,SIHUAS,RAGASH,1,-77.6437154|-8.48913929999998
2021,ANCASH,YUNGAY,MANCOS,1,-77.7130151|-9.18967779999997
2021,APURIMAC,ABANCAY,ABANCAY,3,-72.882722744|-72.8809171999999|-72.8792104999999|-13.6351200839999|-13.6360923999999|-13.6346101999999
2021,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,3,-71.5177452|-71.5077096|-71.5179482|-16.3805179999999|-16.3722989999999|-16.3761373
2021,AREQUIPA,AREQUIPA,AREQUIPA,4,-71.5298314|-71.5547514|-71.5371039|-71.537451|-16.3904537999999|-16.4230798999999|-16.4100525|-16.4090474
2021,AREQUIPA,AREQUIPA,CAYMA,4,-71.5427212|-71.5538493|-71.5421829|-71.5473995|-16.3426764|-16.3387313|-16.3605324|-16.3871167
2021,AREQUIPA,AREQUIPA,CERRO COLORADO,9,-71.5756711|-71.5814137|-71.56182|-71.5625227|-71.5596791|-71.5595086|-71.5586713|-71.5557385|-71.5716535|-16.37301|-16.3427149999999|-16.351558|-16.3766143|-16.3778664|-16.3783075|-16.3812252|-16.3814477|-16.3954762
2021,AREQUIPA,AREQUIPA,MARIANO MELGAR,1,-71.5064707|-16.4090972
2021,AREQUIPA,AREQUIPA,MIRAFLORES,1,-71.5177659999999|-16.4018098
2021,AREQUIPA,AREQUIPA,PAUCARPATA,7,-71.5036125999999|-71.5040039|-71.4913523|-71.4983314|-71.4982277999999|-71.4958503|-71.4997611|-16.4182097|-16.4265808|-16.4339113|-16.432197|-16.4135186|-16.4115011|-16.4102798
2021,AREQUIPA,AREQUIPA,SOCABAYA,4,-71.5322672|-71.5265330999999|-71.5356684|-71.5189569|-16.4418873999999|-16.4433410999999|-16.4365591|-16.4576801
2021,AREQUIPA,AREQUIPA,UCHUMAYO,1,-71.6730158999999|-16.4260371999999
2021,AREQUIPA,CAMANA,CAMANA,3,-72.7114562|-72.7104707999999|-72.7063886|-16.6367931|-16.6235521999999|-16.6199669
2021,AREQUIPA,CAMANA,OCOÑA,1,-73.2516543|-16.3869309
